epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9713,3.24183,11.1967,3.48319,0.02622,0.83324,0.18001,0.10756,2.45015,9.23169,2.76658,0.00043342,0.00043342,0.00043342
2,41.5198,2.84928,8.08564,2.89942,1,0.05226,0.30263,0.15368,2.79867,8.13135,3.45373,0.000848523,0.000848523,0.000848523
3,57.9616,2.84539,6.79812,2.89651,0.74574,0.02187,0.09962,0.03382,5.19738,9.13684,5.45956,0.00122798,0.00122798,0.00122798
4,76.4125,2.8898,5.85273,2.89892,0.24652,0.18197,0.1672,0.07386,4.20176,7.05255,4.08468,0.00146896,0.00146896,0.00146896
5,94.1498,2.96875,4.97875,2.9125,0.10276,0.08387,0.0454,0.01503,5.37587,11.3483,5.95918,0.00140295,0.00140295,0.00140295
6,112.31,2.79469,4.18934,2.80503,0.79379,0.38513,0.41291,0.20412,3.36987,4.83905,3.55001,0.00133693,0.00133693,0.00133693
7,130.295,2.77389,3.62819,2.75816,0.77501,0.47714,0.56211,0.27332,3.24547,3.18496,3.26649,0.00127092,0.00127092,0.00127092
8,148.306,2.81845,3.42506,2.79481,0.51956,0.49551,0.47436,0.20683,3.78595,3.58735,3.64953,0.00120491,0.00120491,0.00120491
9,165.384,2.70486,3.05751,2.69707,0.68289,0.5576,0.62947,0.32008,2.76652,2.36461,2.81298,0.00113889,0.00113889,0.00113889
10,184.565,2.69907,2.94394,2.67029,0.57688,0.52398,0.50568,0.25002,3.23398,2.68179,3.24185,0.00107288,0.00107288,0.00107288
11,202.493,2.73879,2.82352,2.73489,0.72946,0.62048,0.67015,0.36926,2.87412,2.2785,2.90731,0.00100687,0.00100687,0.00100687
12,221.121,2.63322,2.60336,2.65613,0.69305,0.68093,0.69605,0.38843,2.77655,1.91258,2.80585,0.000940855,0.000940855,0.000940855
13,238.999,2.61802,2.45187,2.62999,0.73331,0.6979,0.70177,0.38875,2.96614,2.02629,2.93486,0.000874842,0.000874842,0.000874842
14,257.289,2.49617,2.26981,2.5417,0.75397,0.64306,0.711,0.40211,2.74166,1.94522,2.77182,0.000808828,0.000808828,0.000808828
15,274.905,2.53293,2.24558,2.57606,0.62208,0.76642,0.70489,0.3678,2.87145,1.88459,2.84146,0.000742815,0.000742815,0.000742815
16,297.425,2.37674,1.90914,2.50607,0.75954,0.70757,0.75957,0.42599,2.83676,1.69799,2.67404,0.000676802,0.000676802,0.000676802
17,315.08,2.34473,1.71875,2.49187,0.8185,0.73015,0.80874,0.49382,2.47478,1.42868,2.53047,0.000610789,0.000610789,0.000610789
18,332.174,2.28318,1.576,2.43455,0.81079,0.70757,0.80085,0.49299,2.55949,1.39844,2.57443,0.000544776,0.000544776,0.000544776
19,350.282,2.26663,1.59193,2.43634,0.7533,0.7719,0.80279,0.52708,2.50557,1.39067,2.57235,0.000478762,0.000478762,0.000478762
20,368.938,2.14265,1.45135,2.35318,0.80031,0.75369,0.81789,0.5422,2.50045,1.35578,2.55544,0.000412749,0.000412749,0.000412749
21,386.742,2.14344,1.40002,2.35259,0.8596,0.75772,0.85889,0.56551,2.44471,1.2782,2.50059,0.000346736,0.000346736,0.000346736
22,404.497,2.08403,1.31205,2.31345,0.87889,0.77571,0.8556,0.58329,2.37635,1.21836,2.47755,0.000280723,0.000280723,0.000280723
23,421.578,2.01306,1.2905,2.286,0.95928,0.74783,0.8677,0.58519,2.39136,1.20149,2.5033,0.00021471,0.00021471,0.00021471
24,439.276,2.00679,1.23873,2.28922,0.93896,0.7311,0.88244,0.61343,2.33655,1.15002,2.40044,0.000148696,0.000148696,0.000148696
25,456.461,1.96272,1.17059,2.24605,0.96744,0.72344,0.88527,0.60192,2.3518,1.13253,2.43348,8.26832e-05,8.26832e-05,8.26832e-05
